virus,age,serology,sero2013,sero2015,sero2017
DENV2,c,pos,6,4,
DENV2,c,neg,124,111,
DENV2,c,total,130,115,
DENV2,a,pos,31,44,
DENV2,a,neg,148,160,
DENV2,a,total,179,204,
DENV3,c,pos,18,53,
DENV3,c,neg,112,62,
DENV3,c,total,130,115,
DENV3,a,pos,87,88,
DENV3,a,neg,92,116,
DENV3,a,total,179,204,
ZIKV,c,pos,30,73,41
ZIKV,c,neg,428,254,280
ZIKV,c,total,458,327,321
ZIKV,a,pos,0,0,0
ZIKV,a,neg,0,0,0
ZIKV,a,total,0,0,0
